反照率 Albedo
反照率阵列 AlbedoArray
反照率混合 AlbedoBlend
反照率混合纹理 AlbedoBlendTex
反照率颜色 AlbedoColor
反照率自发光 AlbedoEmissive
反照率虹彩 AlbedoIridescence
反照率不透明度01 Albedoopacity01
反照率纹理 AlbedoTex
反照率磨损 AlbedoWear
前房高度图 AnteriorChamberHeightmap
前房法线 AnteriorChamberNormal
AO高度图 AoHeightmap
AO贴图 AoMap
图集纹理 AtlasTex
大气散射颜色 AtmosphericScatteringColor
大气散射透射率 AtmosphericScatteringTransmittance
背景透明度 BackgroundAlpha
背景纹理 BackgroundTexture
徽标翻页书 BadgeFlipbook
烘焙材质图集 BakerMaterialAtlas
基础颜色 BaseColor
基础颜色金属贴图 BaseColorMetalMap
基础颜色滚动 BaseColorScrolled
基础数据 BaseData
基础贴图 BaseMap
高地基础贴图 BasemapHighlands
低地基础贴图 BasemapLowlands
基础遮罩 BaseMask
基础法线AO BaseNormalAo
基础法线AO污垢 BaseNormalAoDirt
基础法线AO次表面 BaseNormalAoSubsurface
BCA纹理 BcaTex
光束纹理01 BeamTex01
背景纹理 Bgtexture
BH噪声 BhNoise
生物群系A66e90b33 BiomeA66e90b33
生物群系B66e90b33 BiomeB66e90b33
阻挡遮罩目标 BlockerMaskTarget
血液LUT BloodLut
血液覆盖法线灰度 BloodOverlayNormalGrayscale
血液标量场 BloodScalarField
血液飞溅平铺器 BloodSplatterTiler
血液平铺器 BloodTiler
蓝噪声纹理 BluenoiseTexture
BRDF查找表 BrdfLut
笔刷纹理 BrushTexture
气泡纹理 BubbleTex
气泡纹理02 BubbleTex02
虫斑平铺器 BugSplatterTiler
披风渐变 CapeGradient
披风LUT CapeLut
披风标量场 CapeScalarFields
披风撕裂 CapeTear
闭路电视画面 CctvFeed
清漆法线XY强度粗糙度贴图 ClearcoatNormXyIntensityRoughnessMap
清漆粗糙度AO高光 ClearcoatRoughnessAoSpec
悬崖目标 CliffsTarget
隐形噪声 CloakingNoise
最近反射贴图 ClosestReflectionMap
布料细节法线 ClothDetailNormal
云遮罩 CloudMask
颜色LUT ColorLut
颜色贴图 ColorMap
颜色粗糙度 ColorRoughness
颜色粗糙度LUT ColorRoughnessLut
颜色高光B ColorSpecularB
颜色色调查找 ColorTintLookup
颜色色调遮罩贴图 ColorTintMaskMap
颜色变化遮罩 ColorVariationMask
颜色变化MRA ColorVariationMra
颜色变化法线 ColorVariationNormal
组合雾体积颜色密度 CombinedFogVolumesColorDensity
组合雾体积参数 CombinedFogVolumesParameters
复合阵列 CompositeArray
混凝土采样器 ConcreteSampler
混凝土表面数据 ConcreteSurfaceData
大陆LUT ContinentsLUT
大陆纹理贴图 ContinentsTextureMap
企业颜色粗糙度LUT CorporateColorRoughnessLut
宇宙尘埃LUT CosmicDustLut
覆盖反照率 CoveringAlbedo
覆盖法线 CoveringNormal
陨石坑纹理 CraterTexture
立方体贴图 Cubemap
当前曝光 CurrentExposure
自定义迷彩平铺阵列 CustomizationCamoTilerArray
自定义材质细节平铺阵列 CustomizationMaterialDetailTilerArray
损伤平铺数据 DamageTilerData
损伤平铺导数 DamageTilerDerivatives
数据贴图Fad03be1 DataMapFad03be1
数据纹理 DataTex
数据纹理02 DataTex02
数据纹理 DataTexture
贴花表 DecalSheet
可变形地形遮罩 DeformableTerrainMask
深度颜色查找 DepthColorLookup
深度模板缓冲 DepthStencilBuffer
细节 Detail
细节数据 DetailData
细节遮罩 DetailMask_
细节法线1 DetailNormal1
细节法线皮革 DetailNormalLeather
细节法线瓷器 DetailNormalPorcelain
细节法线 DetailNormals
细节纹理 DetailTex
漫反射贴图 DiffuseMap
方向贴图Fad03be1 DirMapFad03be1
污垢贴图 DirtMap
位移贴图 DisplacementMap
位移纹理 DisplacementTex
扭曲贴图 DistortionMap
扭曲纹理 DistortionTex
磨损 Distress
磨损纹理 DistressTexture
距离纹理 DistTex
自发光 Emissive
自发光颜色 EmissiveColor
自发光FStop10强度贴图 EmissiveFStop10IntensityMap
自发光贴图 EmissiveMap
自发光遮罩 EmissiveMask
自发光遮罩 Emissivemask
自发光星云LUT EmissiveNebulaLut
自发光包 EmissivePack
自发光行星 EmissivePlanet
自发光纹理 EmissiveTexture
侵蚀贴图 ErodeMap
侵蚀纹理 ErodeTex
侵蚀纹理 ErodeTexture
眼睛LUT EyeLut
远雾 FarFog
远雾除4云层 FarFogDiv4Clouds
远雾除4云层历史 FarFogDiv4CloudsHistory
远雾除4历史 FarFogDiv4History
远阴影 FarShadows
远阴影体积 FarShadowsVolume
填充纹理 FillTexture
耀斑噪声 FlareNoise
闪光遮罩 FlashMask
闪光遮罩02 FlashMask02
平坦化查找 FlatteningLookup
平坦纹理 FlattenTexture
闪烁纹理 FlickerTex
流动贴图Fad03be1 FlowMapFad03be1
雾体积斑点纹理 FogVolumeBlobTexture
雾体积粒子纹理 FogVolumeParticleTexture
足迹平铺器 FootstepTiler
银河尘埃 GalaxyDust
银河形状 GalaxyShape
银河星星 GalaxyStars
气态巨星查找 GasGiantLookup
G缓冲0 Gbuffer0
G缓冲1 Gbuffer1
G缓冲1副本 Gbuffer1Copy
G缓冲2 Gbuffer2
G缓冲3 Gbuffer3
G缓冲自发光 GbufferEmissive
生成的全局着色器输入 GeneratedGlobalShaderInput
生成的高度图 GeneratedHeightmap
生成的高度图F GeneratedHeightmapF
生成的高度图偏移 GeneratedHeightmapOffset
生成的高度图属性 GeneratedHeightmapProperties
生成的高度图属性高度 GeneratedHeightmapPropertiesHeight
生成的高度图坡度 GeneratedHeightmapSlope
生成的高度图源 GeneratedHeightmapSource
生成的高度图临时除4 GeneratedHeightmapTmpDiv4
生成的高度图无符号归一化除2 GeneratedHeightmapUnormDiv2
生成的材质 GeneratedMaterials
生成的小地图 GeneratedMinimap
生成的小地图槽位 GeneratedMinimapSlot
生成的每区域着色器输入 GeneratedPerZoneShaderInput
生成的路线距离 GeneratedRouteDistance
生成的地形反照率 GeneratedTerrainAlbedo
生成的水替换查找 GeneratedWaterReplaceLookup
玻璃数据 GlassData
闪光采样 GlintSample
闪光采样0dfb75cf GlintSample0dfb75cf
闪光采样61c13523 GlintSample61c13523
全局漫反射贴图 GlobalDiffuseMap
全局镜头污垢贴图 GlobalLensDirtMap
全局辐射贴图 GlobalRadianceMap
全局高光贴图 GlobalSpecularMap
渐变 Gradient
渐变贴图 GradientMap
渐变纹理 GradientTexture
图形积分纹理 GraphIntegralTexture
灰度皮肤 GrayscaleSkin
网格纹理贴图 GridTextureMap
地面反照率 GroundAlbedo
地面NAR GroundNar
污渍遮罩 GrungeMask
HDR0 Hdr0
HDR0除4全分辨率 Hdr0Div4Fullres
HDR1 Hdr1
HDR2 Hdr2
HDR屏幕空间反射 HdrSsr
热雾纹理 HeathazeTexture
高地高度图 HeightmapHighlands
低地高度图 HeightmapLowlands
高度噪声 HeightNoise
高度采样247fa7cb HeightSample247fa7cb
高海拔云颜色 HighAltitudeCloudsColor
高海拔云颜色探针 HighAltitudeCloudsColorProbe
高度图 Hmap
全息圆柱纹理贴图 HologramCylinderTextureMap
ID遮罩阵列 IdMasksArray
IES查找 IesLookup
照明数据 IlluminateData
照明点纹理 IlluminateDotsTexture
输入图像 InputImage
输入纹理 InputTexture
输入纹理0 InputTexture0
输入纹理1 InputTexture1
输入纹理2 InputTexture2
输入纹理3 InputTexture3
输入纹理4 InputTexture4
输入纹理5 InputTexture5
输入纹理6 InputTexture6
输入纹理7 InputTexture7
输入纹理8 InputTexture8
虹膜平铺器 IrisTiler
镜头剪裁纹理 LensCutoutTexture
镜头自发光纹理 LensEmissiveTexture
镜头遮挡纹理 LensOcclusionTexture
光渗漏贴图 LightBleedMap
光探针空间高光 LightProbeSpaceSpecular
线性深度 LinearDepth
线性深度Mip6 LinearDepthMip6
局部灯光阴影图集 LocalLightsShadowAtlas
LUT自发光 LutEmissive
遮罩 Mask
遮罩图集纹理 MaskAtlasTex
遮罩纹理 MaskTex
遮罩纹理 Masktexture
材质LUT MaterialLut
材质贴图 MaterialMap
材质平铺器 MaterialTiler
金属贴图 MetallicMap
金属表面数据 MetalSurfaceData
思维扰乱纹理 MindScrambleTexture
小地图基础颜色 MinimapBaseColor
小地图阻挡目标0 MinimapBlockerTarget0
小地图阻挡目标1 MinimapBlockerTarget1
小地图高度图 MinimapHeightmap
小地图LUT MinimapLut
小地图金属次表面粗糙度高光 MinimapMetallicSubsurfaceRoughnessSpecular
小地图法线湿润度 MinimapNormalWetness
小地图路线 MinimapRoutes
小地图次表面颜色 MinimapSubsurfaceColor
月亮LUT MoonLut
运动向量 MotionVectors
MRA Mra
MRAE Mrae
MRE Mre
MSDF纹理 MsdfTexture
泥浆法线灰度 MudNormalsGrayscale
NAC Nac
NAC NAC
NAR Nar
NAR NAR
NAR纹理 NarTex
NAR纹理 NarTexture
NMS纹理 NmsTex
噪声01 Noise01
噪声01纹理 Noise01Texture
噪声02 Noise02
噪声02纹理 Noise02Tex
噪声阵列 NoiseArray
噪声贴图01 NoiseMap01
噪声贴图02 NoiseMap02
噪声法线 NoiseNormal
噪声包 NoisePack
噪声包01 NoisePack01
噪声包02 NoisePack02
噪声纹理 NoiseTex
噪声纹理01 NoiseTex01
噪声纹理02 NoiseTex02
噪声纹理 NoiseTexture
法线 Normal
法线AO粗糙度 NormalAoRoughness
法线阵列 NormalArray
法线贴图 NormalMap
法线贴图01 NormalMap01
法线贴图02 NormalMap02
带Alpha的法线贴图 NormalMapWithAlpha
法线不透明度 NormalOpacity
法线 Normals
法线高光AO NormalSpecularAo
法线XYAO粗糙度贴图 NormalXyAoRoughMap
法线XY粗糙度不透明度 NormalXyRoughnessOpacity
法线01 Nrm01
法线02 Nrm02
偏移01 Offset01
偏移02 Offset02
偏移噪声 OffsetNoise
偏移纹理 OffsetTexture
不透明度裁剪贴图 OpacityClipMap
不透明度贴图 OpacityMap
外部地图远景高度图 OutsideMapVistaHeightmap
外部地图远景高度图频率图 OutsideMapVistaHeightmapFrequencyMap
覆盖纹理 OverlayTexture
覆盖纹理贴图 OverlayTextureMap
打包贴图 PackMap
调色板LUT PaletteLut
视差贴图 ParallaxMap
图案数据 PatternData
图案LUT PatternLut
图案遮罩阵列 PatternMasksArray
柏林噪声 PerlinNoise
行星噪声 PlanetNoise
上一帧线性深度Mip6 PrevLinearDepthMip6
主要颜色变化法线MR PrimaryColorVariationNormalMr
主要材质反照率 PrimaryMaterialAlbedo
主要材质遮罩 PrimaryMaterialMask
瞳孔高度图 PupilHeightmap
瞳孔法线 PupilNormal
准星纹理 ReticleTexture
波纹平铺器 RipplesTiler
道路数据条 RoadDataStrip
道路方向目标 RoadDirectionTarget
粗糙度贴图 RoughnessMap
散射反照率不透明度 ScatterAlbedoOpacity
散射反照率不透明度阵列 ScatterAlbedoOpacityArray
散射比较密度 ScatterComparisionDensity
散射密度 ScatterDensity
散射密度贴图 ScatterDensityMap
散射查找 ScatterLookup
散射法线阵列 ScatterNormalArray
散射RSH阵列 ScatterRshArray
散射次表面阵列 ScatterSubsurfaceArray
场景覆盖纹理 ScenarioOverlayTexture
标量场不透明度 SclarFieldOpacity
焦痕 ScorchMarks
屏幕效果数据纹理 ScreenEffectDataTexture
屏幕视频纹理B ScreenVideoTextureB
屏幕视频纹理R ScreenVideoTextureR
屏幕视频纹理Y ScreenVideoTextureY
滚动噪声 ScrollNoise
SDF Sdf
次要贴图 SecondaryMap
次要材质遮罩 SecondaryMaterialMask
阴影小地图高度图 ShadowMinimapHeightmap
阴影不透明度 ShadowOpacity
飞船中心高光阵列 ShipHubSpecularArray
飞船中心高光插值来源阵列 ShipHubSpecularLerpFromArray
飞船中心高光插值目标阵列 ShipHubSpecularLerpToArray
天空盒效果纹理 SkyboxEffectTexture
天空穹顶贴图 SkydomeMap
槽位0 Slot0
烟雾包 SmokePack
雪闪平铺器 SnowGlintsTiler
雪遮罩纹理 SnowMaskTexture
雪PNRB阵列 SnowPnrbArray
太空探针背景 SpaceProbeBackdrop
太空星星LUT SpaceStarLut
太空星星LUT临时 SpaceStarLutTmp
高光虹彩强度虹彩厚度贴图 SpecIriIntensityIriThicknessMap
高光BRDF查找表 SpecularBrdfLut
孢子噪声 SporeNoise
SSAO缓冲 SsaoBuffer
SSS查找表 SssLut
次表面不透明度 SubsurfaceOpacity
太阳耀斑图像 SunFlareImage
太阳耀斑可见性查找 SunFlareVisibilityLookup
太阳耀斑可见性查找总和 SunFlareVisibilityLookupSum
太阳阴影贴图 SunShadowMap
表面数据 SurfaceData
调查二维码 SurveyQrCode
扫描纹理 SweepTex
扫描纹理 SweepTexture
煤NT CoalNt
CoH9 CoH9
CoI3 CoI3
撕裂贴图 TearMap
撕裂法线灰度 TearNormalsGrayscale
地形混合数据 TerrainBlendingData
地形位移贴图 TerrainDisplacementMap
地形高度遮罩 TerrainHeightMask
地形踩踏 TerrainTrample
地形透明 TerrainTransparent
纹理 Tex
纹理0 Tex0
纹理01 Tex01
纹理02 Tex02
纹理1 Tex1
纹理2 Tex2
纹理3 Tex3
纹理4 Tex4
纹理遮罩 TexMask
纹理法线 TexNormals
纹理数据 TextureData
纹理灰度贴图 TextureGrayscaleMap
纹理LUT TextureLut
纹理贴图 TextureMap
纹理贴图01 TextureMap01
纹理贴图02 TextureMap02
纹理贴图03 TextureMap03
纹理贴图04 TextureMap04
纹理贴图05 TextureMap05
纹理贴图06 TextureMap06
纹理贴图0b1b5dad TextureMap0b1b5dad
纹理贴图166acea5 TextureMap166acea5
纹理贴图2252c011 TextureMap2252c011
纹理贴图2cfaf55e TextureMap2cfaf55e
纹理贴图319d3bb5 TextureMap319d3bb5
纹理贴图39265ef9 TextureMap39265ef9
纹理贴图58f9c7e1 TextureMap58f9c7e1
纹理贴图5bd36001 TextureMap5bd36001
纹理贴图6535d7ee TextureMap6535d7ee
纹理贴图6a0d408c TextureMap6a0d408c
纹理贴图7936f626 TextureMap7936f626
纹理贴图Ac2cb2ee TextureMapAc2cb2ee
纹理贴图C8d18519 TextureMapC8d18519
纹理贴图Db014a68 TextureMapDb014a68
纹理贴图E814f87a TextureMapE814f87a
纹理贴图E835d457 TextureMapE835d457
纹理贴图F11a51e5 TextureMapF11a51e5
纹理包 TexturePack
纹理Rgba贴图 TextureRgbaMap
缩略图复制 ThumbnailImageToCopy
平铺阵列 TilerArray
修剪贴花 TrimDecal
修剪表高度C982efd3 TrimSheetHeightC982efd3
三平面细节反照率 TriplanarDetailAlbedo
三平面细节数据 TriplanarDetailData
UI3D阴影 Ui3dShadows
